,,,,,,旋转成份矩阵(a),,,,,,,
,,,,,,,成份,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13
3、请判断您对自身体育方面的见解(A)：—A1.喜欢参与体育运动,,,,,,,,,0.758,,,,
A2.拥有两个以上的体育爱好,,,,,,,,,0.681,,,,
A3.身体素质在平均水平,,,,,,,,,0.618,,,,
A4.定制体育计划并予以实施,,,,,,,,,0.738,,,,
4、请判断您自身体育锻炼的动机(B)：—B1.可以培养社交能力,,,,,,,,,,,0.682,,
B2.让自身心情变好,,,,,,,,,,,0.617,,
B3.促进与朋友之间的感情,,,,,,,,,,,0.633,,
B4.让自身身体更健康、强壮,,,,,,,,,,,0.706,,
5、请判断您不经常参加体育锻炼的原因(C)：—C1.没有足够的时间,,,,,,,,,,0.741,,,
C2.意志力不足,,,,,,,,,,0.613,,,
C3.没有兴趣爱好,,,,,,,,,,0.64,,,
C4.没有玩伴陪同锻炼,,,,,,,,,,0.682,,,
6、请判断您喜欢的运动项目(D):—D1.田径类（长跑、短跑）,,,,,,,0.711,,,,,,
D2.足球、藤球类,,,,,,,0.606,,,,,,
D3.篮球、排球类,,,,,,,0.51,,,,,,
D4.网球、乒乓球、羽毛球类,,,,,,,0.663,,,,,,
D5.形体类（瑜伽、健美操、体育舞蹈、啦啦操）,,,,,,,0.567,,,,,,
D6.搏击类（跆拳道、武术、散打）,,,,,,,0.565,,,,,,
7、请判断您关于体育课的想法(E)：—E1.觉得上体育课是负担,,,,,,0.745,,,,,,,
E2.喜欢体育老师的教学风格,,,,,,0.733,,,,,,,
E3.学校的体育设施不能满足需求,,,,,,0.711,,,,,,,
E4.学校不重视体育课程,,,,,,0.693,,,,,,,
E5.开设运动项目种类少,,,,,,0.779,,,,,,,
8、请判断疫情对身体、锻炼的影响(F):—F1.扰乱了健康作息,,,,,,,,0.751,,,,,
F2.线上学习繁重,,,,,,,,0.671,,,,,
F3.心理/情绪较容易波动,,,,,,,,0.716,,,,,
F4.疫情后的运动频率、时长比疫情前高,,,,,,,,0.742,,,,,
请判断体测中测试项目的难度(G)：—G1.800米跑步/1000米跑步,,,0.735,,,,,,,,,,
G2.50米跑步,,,0.737,,,,,,,,,,
G3.仰卧起坐/引体向上,,,0.714,,,,,,,,,,
G4.立定跳远,,,0.751,,,,,,,,,,
G5.肺活量,,,0.707,,,,,,,,,,
G6.身高/体重,,,0.695,,,,,,,,,,
G7.坐位体前屈,,,0.745,,,,,,,,,,
10、请判断学生在入学前的客观条件对体测的影响(H)：—H1.家庭经济收入情况低,,,,0.703,,,,,,,,,
H2.父母的身体素质较差,,,,0.689,,,,,,,,,
H3.家庭地理位置较偏僻,,,,0.55,,,,,,,,,
H4.血型问题,,,,0.65,,,,,,,,,
H5.居住地气候不适宜,,,,0.634,,,,,,,,,
H6.营养情况不佳,,,,0.574,,,,,,,,,
H7.先天性运动禀赋不足,,,,0.741,,,,,,,,,
H8.家庭周边体育设施建设发展水平低,,,,0.671,,,,,,,,,
11、请判断您在体测时的心理情况(I)：—I1.只会对自己有信心的项目才不会担心,,,,,,,,,,,,,0.73
I2.尽自己最大的努力去取得一个较好成绩,,,,,,,,,,,,,0.687
I3.很快调整自己的状态,,,,,,,,,,,,,0.557
I4.在体测前我会和同学一起去操场锻炼,,,,,,,,,,,,0.764,
I5.在体测时我会鼓励同学和帮助,,,,,,,,,,,,0.732,
I6.体测时，我会找同学替考一些自己不擅长的项目,,,,,,,,,,,,0.618,
