,3、请判断您对自身体育方面的见解(A)：—A1.喜欢参与体育运动,A2.拥有两个以上的体育爱好,A3.身体素质在平均水平,A4.定制体育计划并予以实施,4、请判断您自身体育锻炼的动机(B)：—B1.可以培养社交能力,B2.让自身心情变好,B3.促进与朋友之间的感情,B4.让自身身体更健康、强壮,5、请判断您不经常参加体育锻炼的原因(C)：—C1.没有足够的时间,C2.意志力不足,C3.没有兴趣爱好,C4.没有玩伴陪同锻炼,6、请判断您喜欢的运动项目(D):—D1.田径类（长跑、短跑）,D2.足球、藤球类,D3.篮球、排球类,D4.网球、乒乓球、羽毛球类,D5.形体类（瑜伽、健美操、体育舞蹈、啦啦操）,D6.搏击类（跆拳道、武术、散打）,7、请判断您关于体育课的想法(E)：—E1.觉得上体育课是负担,E2.喜欢体育老师的教学风格,E3.学校的体育设施不能满足需求,E4.学校不重视体育课程,E5.开设运动项目种类少,8、请判断疫情对身体、锻炼的影响(F):—F1.扰乱了健康作息,F2.线上学习繁重,F3.心理/情绪较容易波动,F4.疫情后的运动频率、时长比疫情前高,请判断体测中测试项目的难度(G)：—G1.800米跑步/1000米跑步,G2.50米跑步,G3.仰卧起坐/引体向上,G4.立定跳远,G5.肺活量,G6.身高/体重,G7.坐位体前屈,10、请判断学生在入学前的客观条件对体测的影响(H)：—H1.家庭经济收入情况低,H2.父母的身体素质较差,H3.家庭地理位置较偏僻,H4.血型问题,H5.居住地气候不适宜,H6.营养情况不佳,H7.先天性运动禀赋不足,H8.家庭周边体育设施建设发展水平低,11、请判断您在体测时的心理情况(I)：—I1.只会对自己有信心的项目才不会担心,I2.尽自己最大的努力去取得一个较好成绩,I3.很快调整自己的状态,I4.在体测前我会和同学一起去操场锻炼,I5.在体测时我会鼓励同学和帮助,I6.体测时，我会找同学替考一些自己不擅长的项目,13、请判断体测有必要进行的原因(J)：—J1.了解自身健康状况,J2.提升自身体能素质,J3.用作参与评价评优,J4.用作毕业考核,J5.帮助学生养成健身习惯,J6.可以磨炼意志力的有效途径,14、请判断自身个人特质(K)：—K1.认为自己很健谈,K2.常常乐于助人,K3.精力充沛,K4.宽容大度,K5.经常熬夜,K6.饮食不规律,K7.在空闲的时候，躺在床上不出门,K8.沉迷于网络,K9.我想获得新的运动技能,K10.我想认识一些新的朋友,K11.我想保持身心健康,K12.我想提高现有的运动技能,K13.我对待学习积极主动,K14.我有胆量，不怕困难,K15.我看到事物好的一面,K16.别人不爱锻炼不会影响我是否锻炼,K17.在锻炼的时候，我会尝试一些陌生的运动,K18.在较强的压力下我难以保持良好的状态,K19.在日常学习中，我能够及时理解老师的相关指示,K20.我觉得我的运动能力能够掌握大多数运动,K21.遇到误解、矛盾，和朋友及时沟通,K22.生活中，我会有意营造和保持良好的组织氛围,K23.我很喜欢加入组织、社团一起运动,15、请判断自己的性格(L)：—L1.没耐心的,L2.细心地,L3.认真的,L4.冷漠的,L5.负责的,L6.没有条理的,L7.懒惰的,L8.友好的,L9.严谨的
3、请判断您对自身体育方面的见解(A)：—A1.喜欢参与体育运动,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A2.拥有两个以上的体育爱好,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A3.身体素质在平均水平,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1
A4.定制体育计划并予以实施,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4、请判断您自身体育锻炼的动机(B)：—B1.可以培养社交能力,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B2.让自身心情变好,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
B3.促进与朋友之间的感情,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
B4.让自身身体更健康、强壮,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5、请判断您不经常参加体育锻炼的原因(C)：—C1.没有足够的时间,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C2.意志力不足,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0
